trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms
7619.0,4.1195e-07,2.8946e-08,2.8064e-07,1.8851e-08,5.4315e-07,5.7494e-08,4.9654e-09,3.4408e-07,0.8953,0.2289,-1.472,0.6755,0.1125,-1.344,0.5454,0.056,-0.576
7625.0,2.7246e-07,2.481e-08,2.604e-07,1.88e-08,7.4765e-07,5.5823e-08,0.0,2.9377e-07,0.6658,0.1927,-0.192,0.5629,0.0946,-0.064,0.4977,0.0471,1.216
7626.0,6.3198e-09,3.349e-09,2.7233e-08,4.0749e-09,1.3106e-07,1.2969e-08,4.9525e-07,1.4022e-07,5.1967,0.3146,0.0,2.7497,0.1342,0.192,0.7109,0.056,0.512
7630.0,3.9623e-07,2.4856e-08,4.1292e-07,1.9439e-08,1.1142e-06,4.7825e-08,1.4903e-06,4.6751e-07,2.8034,0.2503,13.184,2.6278,0.124,13.376,1.8932,0.0579,13.888
7632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.064,0.0,0.0,0.512
7635.0,6.3506e-07,4.0778e-08,7.7125e-07,4.4353e-08,3.6207e-06,1.3587e-07,2.4794e-06,1.4204e-06,1.4654,0.2073,16.96,1.2265,0.1015,18.24,1.1062,0.05,18.24
7638.0,8.3846e-07,2.472e-08,6.2649e-07,1.7297e-08,9.8262e-07,4.8353e-08,4.6613e-07,4.5256e-07,1.9153,0.2201,1.088,1.7496,0.1085,1.152,1.585,0.0526,1.6
7639.0,0.0,2.4584e-09,5.7513e-09,2.9937e-09,1.6462e-08,8.3897e-09,2.4113e-10,4.8809e-08,1.4038,0.196,0.0,0.4673,0.0839,0.128,0.1106,0.0396,0.576
7642.0,1.123e-06,9.3706e-08,8.7131e-07,7.5124e-08,1.5413e-06,2.0394e-07,3.5617e-08,1.2919e-06,1.268,0.234,-0.128,1.0338,0.1149,0.0,0.8016,0.0566,0.512
7645.0,7.3639e-07,8.3574e-08,8.0102e-07,6.4257e-08,1.9206e-06,1.6863e-07,0.0,9.8035e-07,0.7935,0.1851,0.192,0.6678,0.0912,-0.32,0.5117,0.0442,0.256
7647.0,9.7849e-07,3.8835e-08,6.1549e-07,2.2838e-08,4.1631e-06,6.0716e-08,4.3174e-05,1.1794e-06,24.0609,0.5052,0.384,20.5185,0.2335,0.512,11.6445,0.0911,0.896
7648.0,6.254e-07,2.5501e-08,8.5231e-07,2.4065e-08,2.8508e-06,6.2364e-08,1.5064e-06,5.3561e-07,1.7769,0.2094,5.568,1.5538,0.1033,5.184,1.4649,0.0511,5.568
7654.0,7.5934e-07,6.411e-08,1.0488e-06,4.9406e-08,1.7309e-06,1.3776e-07,2.9296e-06,1.5161e-06,0.9339,0.211,-0.128,0.8395,0.1038,7.616,0.7787,0.0515,0.384
7656.0,5.5828e-08,1.1195e-08,9.5258e-08,1.2936e-08,8.1046e-07,4.3092e-08,5.1699e-06,7.963e-07,1.0004,0.2076,-0.192,0.7605,0.0971,-0.064,0.5672,0.0476,0.704
7657.0,1.3953e-06,3.2197e-08,1.4707e-06,2.9504e-08,3.2333e-06,7.8841e-08,2.0097e-06,7.8854e-07,2.789,0.2414,42.368,2.5875,0.1194,42.368,2.3832,0.0594,42.624
7660.0,2.1121e-06,8.1199e-08,3.4014e-06,7.9145e-08,1.2946e-05,2.3008e-07,3.3595e-05,2.5286e-06,1.6798,0.2951,45.696,1.3526,0.1423,44.608,1.1744,0.0704,44.736
7662.0,6.3354e-08,8.664e-09,4.6904e-08,6.7675e-09,5.6242e-08,1.8725e-08,6.3652e-08,2.2705e-07,0.8287,0.1881,-0.192,0.6205,0.0907,3.584,0.2959,0.0431,0.256
7663.0,5.7565e-08,4.1557e-09,1.546e-07,5.1937e-09,5.6885e-07,1.5268e-08,2.1558e-07,1.102e-07,7.5884,0.3281,0.192,5.5732,0.1468,0.32,3.2379,0.0625,0.96
7671.0,6.2512e-09,3.9021e-09,1.4677e-08,3.5296e-09,6.0955e-08,9.4341e-09,0.0,6.8282e-08,3.087,0.2359,0.0,1.0357,0.0994,0.128,0.3525,0.0456,0.512
7674.0,1.1091e-09,2.2888e-09,1.8557e-08,3.4942e-09,6.0888e-08,1.2085e-08,2.2983e-07,1.1412e-07,1.3327,0.2187,0.0,0.9301,0.1037,0.064,0.368,0.0476,0.512
7677.0,2.0012e-07,1.9874e-08,4.0212e-07,1.909e-08,8.5597e-07,5.095e-08,2.9471e-06,6.7699e-07,0.8882,0.1896,3.712,0.662,0.0923,2.496,0.5851,0.046,2.752
7678.0,4.9106e-06,3.6933e-08,7.0401e-06,3.3717e-08,3.0869e-05,9.0764e-08,7.0963e-05,7.6769e-07,11.7202,0.3531,39.808,10.2978,0.1683,40.0,8.294,0.0774,40.704
7683.0,5.1083e-07,6.9474e-08,6.838e-07,4.4641e-08,4.6484e-07,1.0403e-07,6.4428e-09,6.2083e-07,0.8124,0.1827,-0.704,0.5588,0.0873,-1.6,0.4977,0.0435,-0.704
7684.0,3.019e-07,3.8771e-08,4.1703e-07,3.4986e-08,2.3354e-06,8.8011e-08,1.3653e-05,1.4146e-06,1.1221,0.2016,12.032,0.841,0.0971,0.96,0.7375,0.0474,1.664
7688.0,3.2782e-06,9.6055e-08,6.386e-06,9.8529e-08,2.5831e-05,2.9226e-07,5.6545e-05,3.353e-06,5.0703,0.3003,6.848,4.7251,0.1472,6.912,3.7615,0.0687,7.616
7695.0,1.8011e-06,2.2504e-08,2.9198e-06,2.4816e-08,1.8842e-05,7.8064e-08,9.9388e-05,9.107e-07,16.9863,0.489,1.344,15.621,0.2301,1.472,12.1901,0.102,4.992
7701.0,3.3608e-07,1.5344e-08,3.6003e-07,1.3858e-08,9.5301e-07,3.8767e-08,8.6812e-07,4.2513e-07,2.0197,0.2055,0.576,1.7875,0.0996,0.64,1.6013,0.0487,1.088
7703.0,2.1187e-06,1.3084e-07,2.6251e-06,1.1414e-07,5.7785e-06,3.7014e-07,1.2067e-05,5.4745e-06,2.4081,0.27,10.24,2.1583,0.1262,10.304,1.6028,0.0611,10.816
7705.0,1.1445e-07,1.3857e-08,9.6364e-08,9.4116e-09,2.605e-07,2.488e-08,7.6467e-07,3.6857e-07,1.0513,0.1856,0.192,0.9515,0.0919,0.384,0.7984,0.0454,0.704
7706.0,1.0725e-08,3.3355e-09,2.295e-08,3.4897e-09,8.1957e-08,9.5936e-09,5.911e-07,1.4397e-07,4.6361,0.2989,0.064,2.0875,0.1151,0.192,0.5096,0.0455,0.512
7707.0,1.1474e-06,8.4668e-08,9.4831e-07,4.8421e-08,1.081e-06,1.1449e-07,5.294e-06,1.7327e-06,1.308,0.2255,7.936,0.9139,0.1082,8.128,0.7083,0.0534,8.576
7710.0,1.2777e-08,5.0606e-09,2.317e-08,4.0424e-09,1.2046e-07,1.2604e-08,2.4531e-07,1.4446e-07,1.6871,0.2311,0.0,1.2399,0.1099,0.128,0.5939,0.0498,0.192
7711.0,1.0673e-06,2.971e-08,9.7737e-07,2.2921e-08,3.0134e-06,6.38e-08,2.0437e-06,6.3586e-07,3.9712,0.2609,2.304,3.6634,0.1272,2.496,3.4678,0.0631,2.496
7727.0,1.0846e-06,2.5597e-08,1.4373e-06,2.4131e-08,2.819e-06,6.1009e-08,1.7389e-08,2.9989e-07,2.3009,0.2249,11.136,2.0378,0.1113,11.136,1.9256,0.0551,11.136
7729.0,2.6391e-07,2.4895e-08,5.479e-07,2.5823e-08,1.1355e-06,8.0088e-08,4.6608e-06,1.1536e-06,0.7681,0.1804,3.008,0.5513,0.0878,3.2,0.4606,0.0432,3.968
7734.0,1.8788e-08,5.8055e-09,1.8907e-08,4.5161e-09,1.2922e-07,1.2259e-08,0.0,7.953e-08,1.2241,0.1991,0.064,0.8596,0.0945,0.064,0.6095,0.0454,0.576
