trigger,fluence_ch1,err_ch1,fluence_ch2,err_ch2,fluence_ch3,err_ch3,fluence_ch4,err_ch4,peak_flux_64ms,err_flux_64ms,time_flux_64ms,peak_flux_256ms,err_flux_256ms,time_flux_256ms,peak_flux_1024ms,err_flux_1024ms,time_flux_1024ms,name,burst_id,tjd,time_sec,ra_deg,dec_deg,gal_lon,gal_lat,error_radius,geocenter_angle,overwrite_flag,overwritten_flag,jd,datetime
503.0,6.5872e-08,6.6339e-09,1.4035e-07,7.5318e-09,6.3985e-07,1.8881e-08,4.9223e-06,2.3699e-07,5.209,0.449,0.128,5.055,0.217,0.192,3.048,0.089,0.896,4B,910709,8446.0,41602.091,172.77,81.67,126.41,34.91,2.31,93.8,Y,N,2448446.5,1991-07-09 11:33:22.091
508.0,1.1313e-08,5.8214e-09,0.0,7.447e-09,7.4761e-08,1.3279e-08,4.2405e-07,1.9342e-07,0.728,0.216,-0.576,0.549,0.105,-0.384,0.308,0.05,-0.256,4B,910710,8447.0,16419.435,248.14,-25.29,353.33,15.28,4.51,124.49,N,N,2448447.5,1991-07-10 04:33:39.435
512.0,0.0,1.4613e-09,1.0195e-08,1.9366e-09,6.1854e-08,6.9235e-09,3.5508e-07,9.0183e-08,3.331,0.375,0.0,1.095,0.147,0.192,0.302,0.066,0.256,4B,910711,8448.0,34312.427,209.87,-16.39,325.68,43.45,9.25,130.92,N,N,2448448.5,1991-07-11 09:31:52.427
516.0,3.5412e-07,1.5128e-08,3.1985e-07,1.6734e-08,3.0207e-07,3.1988e-08,1.7449e-07,4.1221e-07,0.935,0.221,0.0,0.775,0.111,0.384,0.696,0.054,0.896,4B,910712,8449.0,29745.707,303.63,-57.09,340.54,-33.66,3.3,72.58,N,N,2448449.5,1991-07-12 08:15:45.707
526.0,1.4714e-07,2.4118e-08,5.7313e-08,1.3864e-08,5.1129e-08,3.8962e-08,3.509e-07,3.4085e-07,0.647,0.249,-0.064,0.494,0.121,0.064,0.265,0.058,0.512,4B,910713,8450.0,73834.091,187.77,30.69,173.08,84.3,6.2,102.56,N,Y,2448450.5,1991-07-13 20:30:34.091
537.0,4.5857e-08,1.0465e-08,7.1154e-08,1.0978e-08,5.5177e-07,2.6698e-08,1.3917e-06,2.7711e-07,1.827,0.324,0.0,1.455,0.157,0.192,1.282,0.077,0.96,4B,910714,8451.0,74777.067,242.52,22.19,38.02,44.88,2.45,94.68,Y,N,2448451.5,1991-07-14 20:46:17.067
540.0,1.2572e-07,8.205e-09,1.0476e-07,8.8934e-09,1.003e-07,1.4135e-08,0.0,7.3742e-08,0.88,0.22,0.064,0.759,0.108,0.064,0.619,0.053,0.64,4B,910715,8452.0,42842.219,321.43,53.83,95.43,2.33,4.83,90.02,N,Y,2448452.5,1991-07-15 11:54:02.219
543.0,6.0751e-07,1.0401e-08,1.3739e-06,1.4362e-08,3.0237e-06,3.2612e-08,2.7225e-06,1.9647e-07,11.158,0.507,1.152,10.556,0.249,1.216,9.145,0.118,1.28,4B,910717,8454.0,16384.171,249.84,-58.21,329.4,-7.59,1.01,99.09,Y,N,2448454.5,1991-07-17 04:33:04.171
547.0,8.1305e-09,2.4365e-09,3.2055e-08,3.2273e-09,1.8662e-07,1.0367e-08,3.2394e-07,6.7299e-08,2.936,0.327,0.064,2.692,0.156,0.128,0.889,0.061,0.256,4B,910717B,8454.0,37383.467,294.15,-7.21,31.57,-13.3,3.95,89.24,Y,N,2448454.5,1991-07-17 10:23:03.467
548.0,7.9023e-07,1.8742e-08,1.3811e-06,2.5636e-08,3.2488e-06,5.2366e-08,7.2472e-07,3.2598e-07,2.202,0.283,5.504,1.996,0.139,5.504,1.825,0.068,5.76,4B,910718B,8455.0,8697.195,350.54,59.74,111.9,-1.2,0.66,133.15,N,N,2448455.5,1991-07-18 02:24:57.195
549.0,7.1425e-08,1.7272e-08,1.1292e-07,2.2066e-08,2.2612e-07,3.7854e-08,9.4081e-07,4.5933e-07,0.53,0.238,-0.384,0.334,0.117,0.128,0.265,0.057,0.448,4B,910718C,8455.0,21708.395,82.8,22.78,183.49,-6.02,5.5,149.06,N,N,2448455.5,1991-07-18 06:01:48.395
550.0,5.1232e-08,1.0241e-08,1.1463e-07,1.4015e-08,1.4963e-07,3.5216e-08,0.0,2.2543e-07,0.676,0.258,-0.704,0.496,0.127,-0.512,0.438,0.062,-0.32,4B,910718D,8455.0,40157.803,307.97,-46.03,354.09,-36.19,10.48,82.46,N,N,2448455.5,1991-07-18 11:09:17.803
