time_relative_to_merger_sec,ligo_strain,bruno_flash_strain
-0.07126223573410329,3.0583241067176535e-19,6.520528324420543e-36
-0.07101809324644393,2.7895240030725484e-19,7.75584904452452e-36
-0.07077395075878457,3.143217012359311e-19,9.219704178242961e-36
-0.0705298082711252,3.2703746390866965e-19,1.0953318157074926e-35
-0.07028566578346584,3.263745155206683e-19,1.30051538974721e-35
-0.07004152329580648,2.9407564514004863e-19,1.5432147516633807e-35
-0.06979738080814712,2.887531434834353e-19,1.8301147171571874e-35
-0.06955323832048776,3.519086076787201e-19,2.1690588635076975e-35
-0.0693090958328284,3.33021015595978e-19,2.56924452408617e-35
-0.06906495334516904,2.797194668882154e-19,3.041449558937414e-35
-0.06882081085750968,3.134144824825979e-19,3.5982959009782897e-35
-0.06857666836985032,3.3608594790006726e-19,4.254555634051422e-35
-0.06833252588219096,3.3178681630142934e-19,5.027506225417688e-35
-0.0680883833945316,3.128099022050577e-19,5.937342526396772e-35
-0.06784424090687224,2.892821142285323e-19,7.007654287863481e-35
-0.06760009841921288,3.423945702427728e-19,8.265979231477923e-35
-0.06735595593155352,3.5663067830991224e-19,9.744443194642031e-35
-0.06711181344389416,2.9188881779062984e-19,1.148050055177457e-34
-0.0668676709562348,3.053313414858957e-19,1.3517790034214598e-34
-0.06662352846857544,3.4119994062382606e-19,1.5907123256991288e-34
-0.06637938598091608,3.3611122157034086e-19,1.8707625747780116e-34
-0.06613524349325672,3.2276817738715825e-19,2.1988053100849573e-34
-0.06589110100559736,2.947942017440014e-19,2.5828308090712243e-34
-0.065646958517938,3.288144694828799e-19,3.03211882258851e-34
-0.06540281603027864,3.673582376487492e-19,3.5574397357895893e-34
-0.06515867354261928,3.0832534061219605e-19,4.17128596462778e-34
-0.06491453105495992,2.9512733461547977e-19,4.888137948586162e-34
-0.06467038856730056,3.422781371604336e-19,5.724769700537839e-34
-0.0644262460796412,3.4168812454546777e-19,6.700599553227283e-34
-0.06418210359198184,3.288041754218689e-19,7.838092508363728e-34
-0.06393796110432248,3.042050944306293e-19,9.163221459405851e-34
-0.06369381861666312,3.12390135525077e-19,1.0705995534671484e-33
-0.06344967612900376,3.66423500916437e-19,1.2501064906618875e-33
-0.0632055336413444,3.295773051092489e-19,1.4588412650664037e-33
-0.06296139115368504,2.8570089335031155e-19,1.7014145628958115e-33
-0.06271724866602568,3.327600276420602e-19,1.983139793913782e-33
-0.06247310617836632,3.468257544425147e-19,2.3101362225078128e-33
-0.06222896369070696,3.291817313348826e-19,2.6894466118118763e-33
-0.0619848212030476,3.1058206956756393e-19,3.129171328738573e-33
-0.06174067871538824,3.0327329922910507e-19,3.638621105347943e-33
-0.06149653622772888,3.544083603467041e-19,4.22849092904472e-33
-0.06125239374006952,3.4794316092945867e-19,4.9110578439092386e-33
-0.06100825125241016,2.8445053301799424e-19,5.700405791597008e-33
-0.0607641087647508,3.138482999464889e-19,6.612681006610127e-33
-0.06051996627709144,3.4885898527770806e-19,7.66638191164587e-33
-0.06027582378943208,3.280497490828034e-19,8.882687938876165e-33
-0.06003168130177272,3.118584939765498e-19,1.0285832237555159e-32
-0.05978753881411336,2.9753602054229524e-19,1.1903523822924997e-32
-0.059543396326454,3.3425058368207177e-19,1.3767425382133737e-32
-0.05929925383879464,3.5477163836397556e-19,1.5913693686498616e-32
-0.05905511135113528,2.914667743392562e-19,1.8383590373233497e-32
-0.05881096886347592,2.9322040214559957e-19,2.1224171761646118e-32
-0.05856682637581656,3.427669391669527e-19,2.448906736741051e-32
-0.0583226838881572,3.3026899783439005e-19,2.82393578831783e-32
-0.05807854140049784,3.0850249104522653e-19,3.254456461462282e-32
-0.05783439891283848,2.9367104882129673e-19,3.7483763708963176e-32
-0.05759025642517912,3.1381489371153827e-19,4.314683999989867e-32
-0.05734611393751976,3.5073180865659616e-19,4.963589693146052e-32
-0.0571019714498604,3.0294489631000147e-19,5.706684082727391e-32
-0.05685782896220104,2.7376776639546135e-19,6.557115975587328e-32
-0.05661368647454168,3.263077993658225e-19,7.52979194229012e-32
-0.05636954398688232,3.315478350587567e-19,8.641600091419755e-32
-0.05612540149922296,3.0241210322780964e-19,9.911660773815125e-32
-0.0558812590115636,2.8905335379777717e-19,1.1361607249066433e-31
-0.05563711652390424,2.979653476101853e-19,1.3015899661235987e-31
-0.05539297403624488,3.3753707419290713e-19,1.4902176014731805e-31
-0.05514883154858552,3.1333345130604373e-19,1.7051644216907802e-31
-0.05490468906092616,2.635560370240852e-19,1.9499519663773186e-31
-0.0546605465732668,3.0192591508020975e-19,2.2285513291798966e-31
-0.05441640408560744,3.3018580123630525e-19,2.5454375504986498e-31
-0.05417226159794808,2.985388840917087e-19,2.905650191504353e-31
-0.05392811911028872,2.777687355045137e-19,3.314860740677348e-31
-0.05368397662262936,2.835303954313526e-19,3.779447566385794e-31
-0.05343983413497,3.1846371826672035e-19,4.30657919654799e-31
-0.05319569164731064,3.1494540794123197e-19,4.9043067795225754e-31
-0.05295154915965128,2.5955363143090167e-19,5.5816666594091765e-31
-0.05270740667199192,2.7639851539259756e-19,6.3487940843022115e-31
-0.05246326418433256,3.220892153594546e-19,7.217049158115351e-31
-0.0522191216966732,2.9577053812300696e-19,8.199156245792302e-31
-0.05197497920901384,2.679191852345539e-19,9.309358148456998e-31
-0.05173083672135448,2.7101871636035514e-19,1.0563586479761499e-30
-0.05148669423369512,2.966927142085812e-19,1.1979649797799207e-30
-0.05124255174603576,3.102598530557052e-19,1.357744117890497e-30
-0.0509984092583764,2.5905469644671998e-19,1.5379167060908712e-30
-0.05075426677071704,2.493451956973445e-19,1.7409599334393253e-30
-0.05051012428305768,3.018685682471781e-19,1.969635282167354e-30
-0.05026598179539832,2.9436640009139785e-19,2.2270190455006715e-30
-0.05002183930773896,2.580424380906307e-19,2.5165358648389316e-30
-0.0497776968200796,2.5389755563014634e-19,2.8419955551621433e-30
-0.04953355433242024,2.7794954133827625e-19,3.2076335081516996e-30
-0.04928941184476088,2.9934627039054777e-19,3.6181549843594715e-30
-0.04904526935710152,2.604992546019917e-19,4.078783628864613e-30
-0.04880112686944216,2.3130947507060594e-19,4.595314569256309e-30
-0.0485569843817828,2.744177004325652e-19,5.1741724804990904e-30
-0.04831284189412344,2.892979874224071e-19,5.8224750282983314e-30
-0.04806869940646408,2.4999323110480223e-19,6.548102131004555e-30
-0.04782455691880472,2.3481190241096734e-19,7.359771509886545e-30
