SN_Name,SN_Time,SN_RA,SN_Dec,GRB_Time,GRB_RA,GRB_Dec,Angular_Sep_deg,GRB_Fluence_J_per_m2,Trigger_ID,Fluence_Total_J_per_m2,Bruno_Class,Time_Delay_s,Entropy_Candidate,mapped_burst_id
GRB 911016B,1991-10-16,300.06,-4.16,1991-10-16 11:01:34.187,300.06,-4.16,0.0,,907.0,1.62596e-06,Below Threshold,39694.187,False,911016
GRB 911022,1991-10-22,123.91,70.33999999999999,1991-10-22 04:13:57.995,123.91,70.34,0.0,,914.0,1.98011e-07,Below Threshold,15237.995,False,911022
GRB 911024,1991-10-24,208.65,38.36,1991-10-24 20:10:06.315,208.65,38.36,0.0,,927.0,6.30569e-08,Below Threshold,72606.315,False,911024
GRB 911026,1991-10-26,74.67999999999999,-22.27,1991-10-26 13:07:00.843,74.68,-22.27,0.0,,938.0,2.0880300000000002e-07,Below Threshold,47220.843,False,911026
GRB 911027B,1991-10-27,127.21999999999998,74.11999999999999,1991-10-27 10:31:50.379,127.22,74.12,0.0,,946.0,1.64969e-07,Below Threshold,37910.379,False,911027B
GRB 911031A,1991-10-31,284.54,21.34,1991-10-31 09:36:20.523,284.54,21.34,0.0,,973.0,4.46558e-06,Below Threshold,34580.523,False,911031
GRB 911031B,1991-10-31,298.89,-28.89,1991-10-31 12:19:17.227,298.89,-28.89,0.0,,974.0,1.107966e-07,Below Threshold,44357.227,False,911031B
GRB 911104,1991-11-04,212.45,35.03,1991-11-04 15:04:41.707,212.45,35.03,0.0,,999.0,1.131705e-06,Below Threshold,54281.707,False,911104
GRB 911111A,1991-11-11,218.09,10.87,1991-11-11 03:59:43.723,218.09,10.87,0.0,,1039.0,2.44696e-07,Below Threshold,14383.723,False,911111C
GRB 911111B,1991-11-11,63.96999999999999,-51.37,1991-11-11 14:37:18.699,63.97,-51.37,0.0,,1042.0,2.0406300000000002e-07,Below Threshold,52638.699,False,911111
GRB 911111C,1991-11-11,121.11,-21.28,1991-11-11 22:19:47.243,121.11,-21.28,0.0,,1046.0,7.4111e-07,Below Threshold,80387.243,False,911111B
GRB 911118A,1991-11-18,167.02999999999997,-20.85,1991-11-18 18:57:38.027,167.03,-20.85,0.0,,1085.0,5.894570000000001e-06,Below Threshold,68258.027,False,911118
GRB 911118B,1991-11-18,253.48999999999992,-5.92,1991-11-18 23:39:19.531,253.49,-5.92,0.0,,1086.0,8.0468e-08,Below Threshold,85159.531,False,911118B
GRB 911123B,1991-11-23,22.809999999999995,30.34,1991-11-23 08:15:33.035,22.81,30.34,0.0,,1114.0,1.4450380000000002e-07,Below Threshold,29733.035,False,911123
GRB 911127A,1991-11-27,269.14,49.73,1991-11-27 04:22:08.235,269.14,49.73,0.0,,1122.0,2.5057100000000003e-06,Below Threshold,15728.235,False,911127
GRB 911127B,1991-11-27,310.13,24.55,1991-11-27 07:01:20.107,310.13,24.55,0.0,,1123.0,1.21852e-07,Below Threshold,25280.107,False,911127C
GRB 911127C,1991-11-27,160.97,-74.58999999999999,1991-11-27 23:08:34.283,160.97,-74.59,0.0,,1125.0,7.2134e-08,Below Threshold,83314.283,False,911127B
GRB 911128,1991-11-28,338.64,-10.36,1991-11-28 08:42:43.947,338.64,-10.36,0.0,,1126.0,2.221240000000001e-07,Below Threshold,31363.947,False,911128
GRB 911202A,1991-12-02,172.49999999999997,-22.84,1991-12-02 20:28:49.707,172.5,-22.84,0.0,,1141.0,5.75071e-06,Below Threshold,73729.707,False,911202
GRB 911205,1991-12-05,103.97,-25.85,1991-12-05 23:04:41.003,103.97,-25.85,0.0,,1148.0,1.124609e-06,Below Threshold,83081.003,False,911205
GRB 911207,1991-12-07,307.79,29.3,1991-12-07 09:50:45.355,307.79,29.3,0.0,,1150.0,6.72482e-07,Below Threshold,35445.355,False,911207
GRB 911208A,1991-12-08,112.67999999999998,-21.14,1991-12-08 00:05:45.707,112.68,-21.14,0.0,,1152.0,3.31181e-07,Below Threshold,345.707,False,911208
GRB 911208B,1991-12-08,38.14999999999999,-53.11,1991-12-08 21:05:01.547,38.15,-53.11,0.0,,1153.0,3.8549e-08,Below Threshold,75901.547,False,911208B
GRB 911209B,1991-12-09,46.11,-31.3,1991-12-09 16:22:42.539,46.11,-31.3,0.0,,1156.0,3.703080000000001e-06,Below Threshold,58962.539,False,911209C
GRB 911209C,1991-12-09,259.98,-45.080000000000005,1991-12-09 18:35:57.867,259.98,-45.08,0.0,,1157.0,2.1915099999999995e-06,Below Threshold,66957.867,False,911209
GRB 911210,1991-12-10,294.86999999999995,-19.4,1991-12-10 21:05:47.371,294.87,-19.4,0.0,,1159.0,2.4653e-07,Below Threshold,75947.371,False,911210
GRB 911213,1991-12-13,209.39999999999995,-45.74,1991-12-13 20:35:37.195,209.4,-45.74,0.0,,1167.0,3.99244e-08,Below Threshold,74137.195,False,911213
GRB 911217A,1991-12-17,6.958333333333333,22.67,1991-12-17 08:22:05.675,6.96,22.67,0.002,,1190.0,2.10262e-07,Below Threshold,30125.675,False,911217
GRB 911217B,1991-12-17,28.89,0.0166666666666666,1991-12-17 22:39:58.059,28.89,0.03,0.013,,1192.0,1.2856e-07,Below Threshold,81598.059,False,911217B
GRB 911219A,1991-12-19,354.24999999999994,-0.16,1991-12-19 09:02:14.123,354.25,-0.16,0.0,,1196.0,2.08831e-07,Below Threshold,32534.123,False,911219B
GRB 911219B,1991-12-19,218.65,-4.83,1991-12-19 21:57:18.059,218.65,-4.83,0.0,,1197.0,3.282346000000001e-07,Below Threshold,79038.059,False,911219
GRB 911221,1991-12-21,215.82,-42.72,1991-12-21 22:03:25.675,215.82,-42.72,0.0,,1200.0,3.77822e-07,Below Threshold,79405.675,False,911221
GRB 911223,1991-12-23,336.9899999999999,-50.42,1991-12-23 05:36:57.579,336.99,-50.42,0.0,,1204.0,4.90081e-08,Below Threshold,20217.579,False,911223
GRB 911224C,1991-12-24,342.04,-17.71,1991-12-24 15:35:33.227,342.04,-17.71,0.0,,1213.0,1.0311010000000001e-07,Below Threshold,56133.227,False,911224C
GRB 911225A,1991-12-25,334.61,26.17,1991-12-25 09:05:34.827,334.61,26.17,0.0,,1218.0,1.7867000000000002e-07,Below Threshold,32734.827,False,911225
GRB 911225B,1991-12-25,253.31,-34.1,1991-12-25 17:08:37.483,253.31,-34.1,0.0,,1221.0,6.53196e-08,Below Threshold,61717.483,False,911225B
GRB 911227,1991-12-27,350.44,-68.25,1991-12-27 01:05:53.259,350.44,-68.25,0.0,,1235.0,1.019786e-06,Below Threshold,3953.259,False,911227
GRB 911228,1991-12-28,280.19,43.69,1991-12-28 17:22:06.059,280.19,43.69,0.0,,1244.0,3.12381e-07,Below Threshold,62526.059,False,911228
GRB 920105,1992-01-05,335.4,-53.8,1992-01-05 17:41:17.035,335.4,-53.8,0.0,,1279.0,1.83557e-07,Below Threshold,63677.035,False,920105
GRB 920110A,1992-01-10,58.07999999999999,-20.8,1992-01-10 09:17:58.251,58.08,-20.8,0.0,,1288.0,3.62658e-06,Below Threshold,33478.251,False,920110
GRB 920110C,1992-01-10,357.7099999999999,10.55,1992-01-10 22:21:38.987,357.71,10.55,0.0,,1291.0,4.62702e-07,Below Threshold,80498.987,False,920110B
GRB 920114,1992-01-14,244.13,63.89,1992-01-14 17:23:46.411,244.13,63.89,0.0,,1298.0,1.08872e-08,Below Threshold,62626.411,False,920114
GRB 920116B,1992-01-16,152.79,-81.32,1992-01-16 18:30:34.859,152.79,-81.32,0.0,,1303.0,1.4375850000000002e-06,Below Threshold,66634.859,False,920116
GRB 920120,1992-01-20,300.30999999999995,-82.75,1992-01-20 22:30:39.979,300.31,-82.75,0.0,,1306.0,7.764800000000002e-08,Below Threshold,81039.979,False,920120
GRB 920127,1992-01-27,322.36999999999995,-29.26,1992-01-27 21:26:57.387,322.37,-29.26,0.0,,1318.0,1.1521e-07,Below Threshold,77217.387,False,920127
GRB 920203,1992-02-03,269.7399999999999,-15.26,1992-02-03 15:36:47.595,269.74,-15.26,0.0,,1346.0,8.647860000000002e-08,Below Threshold,56207.595,False,920203
GRB 920209B,1992-02-09,288.23,60.75,1992-02-09 21:40:44.779,288.23,60.75,0.0,,1382.0,7.926400000000001e-08,Below Threshold,78044.779,False,920209B
GRB 920210A,1992-02-10,318.78,-40.43,1992-02-10 02:15:54.987,318.78,-40.43,0.0,,1384.0,4.85804e-08,Below Threshold,8154.987,False,920210C
GRB 920210B,1992-02-10,150.97,48.36,1992-02-10 09:53:43.787,150.97,48.36,0.0,,1385.0,9.43799e-06,Below Threshold,35623.787,False,920210
GRB 920212,1992-02-12,38.18999999999999,14.1,1992-02-12 04:13:46.475,38.19,14.1,0.0,,1390.0,3.831223e-07,Below Threshold,15226.475,False,920212
GRB 920214,1992-02-14,39.67,7.13,1992-02-14 17:16:02.539,39.67,7.13,0.0,,1396.0,2.6072e-07,Below Threshold,62162.539,False,920214
GRB 920216B,1992-02-16,156.91999999999996,1.1700000000000002,1992-02-16 22:18:20.331,156.92,1.17,0.0,,1406.0,1.02131e-06,Below Threshold,80300.331,False,920216
GRB 920218B,1992-02-18,140.41999999999996,52.96,1992-02-18 11:03:11.915,140.42,52.96,0.0,,1416.0,4.2092600000000003e-08,Below Threshold,39791.915,False,920218B
GRB 920218C,1992-02-18,39.47,27.47,1992-02-18 18:42:22.955,39.47,27.47,0.0,,1419.0,2.17827e-06,Below Threshold,67342.955,False,920218
GRB 920221,1992-02-21,184.14,48.48,1992-02-21 06:14:32.363,184.14,48.48,0.0,,1425.0,1.11598e-06,Below Threshold,22472.363,False,920221
GRB 920224A,1992-02-24,169.64999999999998,-66.78,1992-02-24 02:43:38.731,169.65,-66.78,0.0,,1432.0,2.6856e-07,Below Threshold,9818.731,False,920224
GRB 920226B,1992-02-26,271.24999999999994,17.46,1992-02-26 08:15:28.491,271.25,17.46,0.0,,1440.0,1.481751e-06,Below Threshold,29728.491,False,920226
GRB 920227A,1992-02-27,68.35999999999999,66.83999999999999,1992-02-27 06:00:50.603,68.36,66.84,0.0,,1443.0,1.7932800000000008e-07,Below Threshold,21650.603,False,920227
GRB 920227B,1992-02-27,241.01,10.65,1992-02-27 17:46:16.043,241.01,10.65,0.0,,1446.0,2.72652e-07,Below Threshold,63976.043,False,920227C
GRB 920227C,1992-02-27,202.28,50.56,1992-02-27 20:50:00.427,202.28,50.56,0.0,,1447.0,8.641290000000001e-07,Below Threshold,75000.427,False,920227B
GRB 920228,1992-02-28,147.93999999999997,25.06,1992-02-28 14:59:06.987,147.94,25.06,0.0,,1449.0,4.7634000000000004e-07,Below Threshold,53946.987,False,920228
GRB 920229A,1992-02-29,333.67,-5.25,1992-02-29 15:04:08.043,333.67,-5.25,0.0,,1452.0,1.220972e-07,Below Threshold,54248.043,False,920229B
GRB 920301,1992-03-01,344.17999999999995,16.83,1992-03-01 11:34:22.059,344.18,16.83,0.0,,1456.0,2.7934e-07,Below Threshold,41662.059,False,920301
GRB 920302A,1992-03-02,115.28,-58.92,1992-03-02 00:14:44.075,115.28,-58.92,0.0,,1458.0,2.0464700000000005e-07,Below Threshold,884.075,False,920302B
GRB 920307,1992-03-07,355.56999999999994,-45.15,1992-03-07 00:18:04.011,355.57,-45.15,0.0,,1467.0,9.92199e-07,Below Threshold,1084.011,False,920307
GRB 920308A,1992-03-08,84.44,65.25,1992-03-08 04:55:45.259,84.44,65.25,0.0,,1468.0,3.297987e-06,Below Threshold,17745.259,False,920308
GRB 920310,1992-03-10,105.84999999999998,-5.91,1992-03-10 14:03:14.411,105.85,-5.91,0.0,,1472.0,5.08417e-07,Below Threshold,50594.411,False,920310
GRB 920318A,1992-03-18,254.5,-26.31,1992-03-18 10:57:13.835,254.5,-26.31,0.0,,1492.0,1.0152550000000004e-07,Below Threshold,39433.835,False,920318
GRB 920323,1992-03-23,337.89,-34.66,1992-03-23 17:38:55.723,337.89,-34.66,0.0,,1515.0,5.651030000000001e-07,Below Threshold,63535.723,False,920323
GRB 920331B,1992-03-31,264.3,30.55,1992-03-31 18:15:48.203,264.3,30.55,0.0,,1533.0,1.124367e-06,Below Threshold,65748.203,False,920331
