name,RA_deg,Dec_deg,redshift,datetime,maxabsmag,distance_mpc,type
GRB 930121A,8.479166666666666,-20.81,,1993/01/21,,,LGRB
GRB 930123,60.38999999999999,38.34,,1993/01/23,,,LGRB
GRB 930127A,245.3,-19.96,,1993/01/27,,,LGRB
GRB 930127B,310.94999999999993,-39.63,,1993/01/27,,,LGRB
GRB 930131A,182.04,-8.239999999999998,,1993/01/31,,,LGRB
GRB 930131B,79.83,-2.6,,1993/01/31,,,LGRB
GRB 930201C,333.53,41.15,,1993/02/01,,,LGRB
GRB 930203B,150.84,68.81,,1993/02/03,,,LGRB
GRB 930206B,233.51,-66.15,,1993/02/06,,,LGRB
GRB 930210,248.88,22.25,,1993/02/10,,,LGRB
GRB 930212,38.35,8.889999999999999,,1993/02/12,,,LGRB
GRB 930213A,13.929999999999998,49.41,,1993/02/13,,,LGRB
GRB 930213B,199.97,-67.46000000000001,,1993/02/13,,,LGRB
GRB 930214A,255.35,17.990000000000002,,1993/02/14,,,LGRB
GRB 930214B,282.83,-44.51,,1993/02/14,,,LGRB
GRB 930214C,194.8,26.77,,1993/02/14,,,LGRB
GRB 930217,117.77999999999996,0.9805555555555556,,1993/02/17,,,LGRB
GRB 930219B,330.63,35.080000000000005,,1993/02/19,,,LGRB
GRB 930219C,242.82,57.51,,1993/02/19,,,LGRB
GRB 930219D,58.28999999999999,-30.05,,1993/02/19,,,LGRB
GRB 930221,145.12999999999997,-25.85,,1993/02/21,,,LGRB
GRB 930301,296.21,-40.44,,1993/03/01,,,LGRB
GRB 930302,90.33,5.430000000000001,,1993/03/02,,,LGRB
GRB 930305A,40.92,-36.69,,1993/03/05,,,LGRB
GRB 930309A,325.41,51.73,,1993/03/09,,,LGRB
GRB 930309B,32.56999999999999,-28.16,,1993/03/09,,,LGRB
GRB 930310,284.35,-52.39,,1993/03/10,,,LGRB
GRB 930311,126.89,-32.38,,1993/03/11,,,LGRB
GRB 930313,35.8,86.06,,1993/03/13,,,LGRB
GRB 930315,0.3333333333333333,-10.89,,1993/03/15,,,LGRB
GRB 930316,12.82,-62.67,,1993/03/16,,,LGRB
GRB 930317,2.7416666666666663,7.99,,1993/03/17,,,LGRB
GRB 930318A,106.17999999999998,-19.14,,1993/03/18,,,LGRB
GRB 930326A,138.82999999999998,21.34,,1993/03/26,,,LGRB
GRB 930331A,42.99999999999999,47.27,,1993/03/31,,,LGRB
GRB 930331B,50.13,-36.830000000000005,,1993/03/31,,,LGRB
GRB 930405B,200.06,13.02,,1993/04/05,,,LGRB
GRB 930410,25.039999999999992,-20.56,,1993/04/10,,,LGRB
GRB 930415,29.03,17.529999999999998,,1993/04/15,,,LGRB
GRB 930416,144.54999999999998,-24.18,,1993/04/16,,,LGRB
GRB 930418B,333.14,17.08,,1993/04/18,,,LGRB
GRB 930420A,36.13,-29.040000000000003,,1993/04/20,,,LGRB
GRB 930420B,241.71,-7.09,,1993/04/20,,,LGRB
GRB 930424,54.22,41.6,,1993/04/24,,,LGRB
GRB 930425A,17.999999999999996,-35.19,,1993/04/25,,,LGRB
GRB 930430A,106.32999999999998,20.97,,1993/04/30,,,LGRB
GRB 930503A,198.33,-63.52,,1993/05/03,,,LGRB
GRB 930503B,19.62,-22.26,,1993/05/03,,,LGRB
GRB 930503D,5.370833333333332,-40.22,,1993/05/03,,,LGRB
GRB 930506A,101.82999999999998,-16.66,,1993/05/06,,,LGRB
GRB 930506B,64.44999999999999,-5.97,,1993/05/06,,,LGRB
GRB 930514B,344.19999999999993,16.41,,1993/05/14,,,LGRB
GRB 930517A,5.85,22.85,,1993/05/17,,,LGRB
GRB 930517B,29.34,-5.96,,1993/05/17,,,LGRB
GRB 930518,349.17,-37.51,,1993/05/18,,,LGRB
GRB 930519,26.84,-41.46,,1993/05/19,,,LGRB
GRB 930521,203.15,-31.88,,1993/05/21,,,LGRB
GRB 930531,340.04,13.25,,1993/05/31,,,LGRB
GRB 930602A,263.22,37.66,,1993/06/02,,,LGRB
GRB 930602B,217.98,-32.34,,1993/06/02,,,LGRB
GRB 930603,121.16,0.4194444444444444,,1993/06/03,,,LGRB
GRB 930605B,294.36999999999995,34.11,,1993/06/05,,,LGRB
GRB 930606A,252.64,-79.26,,1993/06/06,,,LGRB
GRB 930607,163.43999999999997,35.64,,1993/06/07,,,LGRB
GRB 930608A,323.25,-10.22,,1993/06/08,,,LGRB
GRB 930609A,208.73,-16.38,,1993/06/09,,,LGRB
GRB 930610,211.88,-1.91,,1993/06/10,,,LGRB
GRB 930612A,103.07,-69.76,,1993/06/12,,,LGRB
GRB 930612D,37.1,30.74,,1993/06/12,,,LGRB
GRB 930613,316.23,-31.41,,1993/06/13,,,LGRB
GRB 930614A,168.14,23.95,,1993/06/14,,,LGRB
GRB 930614B,33.3,-41.04,,1993/06/14,,,LGRB
GRB 930619,244.95999999999995,-68.14,,1993/06/19,,,LGRB
GRB 930621A,201.2,-44.61,,1993/06/21,,,LGRB
GRB 930627,151.99999999999997,-55.94,,1993/06/27,,,LGRB
GRB 930701A,298.72,6.33,,1993/07/01,,,LGRB
GRB 930701B,314.86999999999995,78.94,,1993/07/01,,,LGRB
GRB 930704B,100.9,60.8,,1993/07/04,,,LGRB
GRB 930705A,283.08,-39.24,,1993/07/05,,,LGRB
GRB 930705B,78.27,-56.17,,1993/07/05,,,LGRB
GRB 930706B,210.09,-1.36,,1993/07/06,,,LGRB
GRB 930708C,80.78999999999999,26.94,,1993/07/08,,,LGRB
GRB 930709A,194.41,-46.73,,1993/07/09,,,LGRB
GRB 930709B,351.80999999999995,-8.389999999999999,,1993/07/09,,,LGRB
GRB 930710,26.349999999999994,40.19,,1993/07/10,,,LGRB
GRB 930711A,265.49999999999994,-10.989999999999998,,1993/07/11,,,LGRB
GRB 930711B,13.749999999999998,-9.09,,1993/07/11,,,LGRB
GRB 930711C,211.61999999999995,-37.39,,1993/07/11,,,LGRB
GRB 930711D,251.05,-50.56,,1993/07/11,,,LGRB
GRB 930714,257.7,23.7,,1993/07/14,,,LGRB
GRB 930715,223.03,3.39,,1993/07/15,,,LGRB
GRB 930720A,20.82,25.34,,1993/07/20,,,LGRB
GRB 930720B,95.50999999999998,47.17,,1993/07/20,,,LGRB
GRB 930721A,78.65999999999998,-33.15,,1993/07/21,,,LGRB
GRB 930721B,298.5799999999999,-40.79,,1993/07/21,,,LGRB
GRB 930724A,289.6,58.31,,1993/07/24,,,LGRB
GRB 930724B,75.91999999999999,0.2305555555555555,,1993/07/24,,,LGRB
GRB 930730,304.54999999999995,27.95,,1993/07/30,,,LGRB
GRB 930731B,102.30999999999996,37.38,,1993/07/31,,,LGRB
GRB 930801,292.7799999999999,46.02,,1993/08/01,,,LGRB
GRB 930805B,334.54999999999995,-15.6,,1993/08/05,,,LGRB
GRB 930807B,275.1,-56.84,,1993/08/07,,,LGRB
GRB 930819,105.76999999999998,-49.28,,1993/08/19,,,LGRB
GRB 930820,153.04999999999998,-51.88,,1993/08/20,,,LGRB
GRB 930822B,213.09,-0.6799999999999999,,1993/08/22,,,LGRB
GRB 930828,177.11,37.24,,1993/08/28,,,LGRB
GRB 930901,158.28,-38.36,,1993/09/01,,,LGRB
GRB 930902B,103.12,16.15,,1993/09/02,,,LGRB
GRB 930909,15.83,36.84,,1993/09/09,,,LGRB
GRB 930910C,167.58999999999995,-66.69,,1993/09/10,,,LGRB
GRB 930913A,294.27,44.27,,1993/09/13,,,LGRB
GRB 930914,34.25999999999999,34.29,,1993/09/14,,,LGRB
