name,ra_deg,dec_deg,redshift,lumdist_mpc,type,discover_date
GRB 930310,284.34999999999997,-52.39,,,LGRB,1993/03/10
GRB 930311,126.88999999999999,-32.38,,,LGRB,1993/03/11
GRB 930313,35.8,86.06,,,LGRB,1993/03/13
GRB 930315,0.3333333333333333,-10.889999999999999,,,LGRB,1993/03/15
GRB 930316,12.819999999999999,-62.669999999999995,,,LGRB,1993/03/16
GRB 930317,2.7416666666666663,7.99,,,LGRB,1993/03/17
GRB 930318A,106.17999999999998,-19.14,,,LGRB,1993/03/18
GRB 930326A,138.82999999999998,21.34,,,LGRB,1993/03/26
GRB 930331A,42.99999999999999,47.269999999999996,,,LGRB,1993/03/31
GRB 930331B,50.129999999999995,-36.830000000000005,,,LGRB,1993/03/31
GRB 930405B,200.05999999999997,13.020000000000001,,,LGRB,1993/04/05
GRB 930410,25.039999999999992,-20.560000000000002,,,LGRB,1993/04/10
GRB 930415,29.029999999999998,17.529999999999998,,,LGRB,1993/04/15
GRB 930416,144.54999999999998,-24.18,,,LGRB,1993/04/16
GRB 930418B,333.14,17.08,,,LGRB,1993/04/18
GRB 930420A,36.129999999999995,-29.040000000000003,,,LGRB,1993/04/20
GRB 930420B,241.70999999999998,-7.09,,,LGRB,1993/04/20
GRB 930424,54.22,41.6,,,LGRB,1993/04/24
GRB 930425A,17.999999999999996,-35.19,,,LGRB,1993/04/25
GRB 930430A,106.32999999999998,20.97,,,LGRB,1993/04/30
GRB 930503A,198.32999999999996,-63.519999999999996,,,LGRB,1993/05/03
GRB 930503B,19.619999999999997,-22.26,,,LGRB,1993/05/03
GRB 930503D,5.370833333333332,-40.22,,,LGRB,1993/05/03
GRB 930506A,101.82999999999998,-16.66,,,LGRB,1993/05/06
GRB 930506B,64.44999999999999,-5.97,,,LGRB,1993/05/06
GRB 930514B,344.19999999999993,16.41,,,LGRB,1993/05/14
GRB 930517A,5.85,22.85,,,LGRB,1993/05/17
GRB 930517B,29.339999999999996,-5.96,,,LGRB,1993/05/17
GRB 930518,349.16999999999996,-37.51,,,LGRB,1993/05/18
GRB 930519,26.839999999999996,-41.46,,,LGRB,1993/05/19
GRB 930521,203.14999999999998,-31.88,,,LGRB,1993/05/21
GRB 930531,340.03999999999996,13.25,,,LGRB,1993/05/31
GRB 930602A,263.21999999999997,37.66,,,LGRB,1993/06/02
GRB 930602B,217.97999999999996,-32.34,,,LGRB,1993/06/02
GRB 930603,121.16,0.41944444444444445,,,LGRB,1993/06/03
GRB 930605B,294.36999999999995,34.11,,,LGRB,1993/06/05
GRB 930606A,252.63999999999996,-79.26,,,LGRB,1993/06/06
GRB 930607,163.43999999999997,35.64,,,LGRB,1993/06/07
GRB 930608A,323.25,-10.22,,,LGRB,1993/06/08
GRB 930609A,208.72999999999996,-16.38,,,LGRB,1993/06/09
GRB 930610,211.87999999999997,-1.91,,,LGRB,1993/06/10
GRB 930612A,103.07000000000001,-69.76,,,LGRB,1993/06/12
GRB 930612D,37.1,30.740000000000002,,,LGRB,1993/06/12
GRB 930613,316.22999999999996,-31.41,,,LGRB,1993/06/13
GRB 930614A,168.14,23.95,,,LGRB,1993/06/14
GRB 930614B,33.3,-41.04,,,LGRB,1993/06/14
GRB 930619,244.95999999999995,-68.14,,,LGRB,1993/06/19
GRB 930621A,201.2,-44.61,,,LGRB,1993/06/21
GRB 930627,151.99999999999997,-55.94,,,LGRB,1993/06/27
GRB 930701A,298.71999999999997,6.33,,,LGRB,1993/07/01
GRB 930701B,314.86999999999995,78.94,,,LGRB,1993/07/01
GRB 930704B,100.89999999999999,60.8,,,LGRB,1993/07/04
GRB 930705A,283.08,-39.24,,,LGRB,1993/07/05
GRB 930705B,78.27,-56.169999999999995,,,LGRB,1993/07/05
GRB 930706B,210.08999999999997,-1.36,,,LGRB,1993/07/06
GRB 930708C,80.78999999999999,26.94,,,LGRB,1993/07/08
GRB 930709A,194.40999999999997,-46.730000000000004,,,LGRB,1993/07/09
GRB 930709B,351.80999999999995,-8.389999999999999,,,LGRB,1993/07/09
GRB 930710,26.349999999999994,40.19,,,LGRB,1993/07/10
GRB 930711A,265.49999999999994,-10.989999999999998,,,LGRB,1993/07/11
GRB 930711B,13.749999999999998,-9.09,,,LGRB,1993/07/11
GRB 930711C,211.61999999999995,-37.39,,,LGRB,1993/07/11
GRB 930711D,251.04999999999998,-50.559999999999995,,,LGRB,1993/07/11
GRB 930714,257.7,23.7,,,LGRB,1993/07/14
GRB 930715,223.03,3.39,,,LGRB,1993/07/15
GRB 930720A,20.819999999999997,25.34,,,LGRB,1993/07/20
GRB 930720B,95.50999999999998,47.169999999999995,,,LGRB,1993/07/20
GRB 930721A,78.65999999999998,-33.15,,,LGRB,1993/07/21
GRB 930721B,298.5799999999999,-40.79,,,LGRB,1993/07/21
GRB 930724A,289.59999999999997,58.309999999999995,,,LGRB,1993/07/24
GRB 930724B,75.91999999999999,0.23055555555555557,,,LGRB,1993/07/24
GRB 930730,304.54999999999995,27.95,,,LGRB,1993/07/30
GRB 930731B,102.30999999999997,37.38,,,LGRB,1993/07/31
GRB 930801,292.7799999999999,46.019999999999996,,,LGRB,1993/08/01
GRB 930805B,334.54999999999995,-15.6,,,LGRB,1993/08/05
GRB 930807B,275.09999999999997,-56.84,,,LGRB,1993/08/07
GRB 930819,105.76999999999998,-49.28,,,LGRB,1993/08/19
GRB 930820,153.04999999999998,-51.88,,,LGRB,1993/08/20
GRB 930822B,213.08999999999997,-0.6799999999999999,,,LGRB,1993/08/22
GRB 930828,177.10999999999999,37.24,,,LGRB,1993/08/28
