name,ra_deg,dec_deg,redshift,lumdist_mpc,type,discover_date,fluence_j_m2,Bruno_Trigger
SN2018gjq,338.205375,-1.8525916666666669,0.057,263.0,Ia,2018/09/15,1.2080552458078852e-07,False
SN2018gjr,19.01525,-0.1176055555555555,0.046224,211.713,Ia,2018/09/15,1.8642460866632605e-07,False
SN2018gjt,39.06520833333333,-1.1997916666666666,0.0471,215.9,Ia,2018/09/15,1.7926396906190726e-07,False
SN2018gju,2.049125,-4.285225,0.05,230.0,Ic BL,2018/09/15,1.579583616205777e-07,False
SN2018gjv,17.042624999999997,0.1952361111111111,0.051,234.0,II,2018/09/15,1.5260423204267228e-07,False
SN2018gjx,34.064791666666665,28.591305555555557,0.012,53.6,II,2018/09/15,2.908497622566468e-06,False
SN2018gjy,34.68237499999999,10.013713888888889,0.09,420.0,Ia,2018/09/05,4.736959937487848e-08,False
SN2018gjz,312.79162499999995,-24.894127777777776,0.083,390.0,Ia,2018/09/04,5.493752353536202e-08,False
SN2018gk,248.9746166666666,40.03286388888889,0.031009,140.467,II,2018/01/13,4.2349635644200627e-07,False
SN2018gka,44.833375,-14.099797222222223,0.1,480.0,Ia,2018/09/11,3.6267349521391334e-08,False
SN2018gke,40.715125,21.51185555555556,0.087,410.0,Ia,2018/09/05,4.97084909561485e-08,False
SN2018gkf,118.29949999999998,23.65171944444444,0.0819,384.6,IIn,2018/09/11,5.649106114347085e-08,False
SN2018gki,124.19975,8.165891666666667,0.053,244.0,II,2018/09/09,1.403520110475773e-07,False
SN2018gkj,330.612325,-64.351275,0.041575,189.784,Ia,2018/09/14,2.3199525418896993e-07,False
SN2018gkw,119.408,44.746833333333335,0.072,336.0,Ia,2018/09/08,7.401499902324761e-08,False
SN2018gkx,208.0800833333333,55.64120555555556,0.137,667.0,Ia CSM,2018/09/08,1.8782207089248244e-08,False
SN2018gkz,119.54808333333332,19.518866666666664,0.23,1180.0,Ia,2018/09/11,6.001147177340249e-09,False
SN2018gl,149.52545833333332,10.35933611111111,0.017906,80.3284,Ia,2018/01/13,1.2949710488693517e-06,False
SN2018gle,66.26254999999999,-14.613311111111113,0.0175,78.48,Ic,2018/09/15,1.3566890000426945e-06,False
SN2018gls,43.00879166666666,-17.065583333333333,0.063,292.0,Ia,2018/09/16,9.800146990205201e-08,False
SN2018glu,228.54649999999995,-14.349683333333331,0.024167,108.923,Ia,2018/09/12,7.043022954508619e-07,False
SN2018gm,155.32979166666664,20.91036944444444,0.04104,187.27,Ia,2018/01/14,2.382658889496161e-07,False
SN2018gn,26.676604166666664,32.50755,0.037503,170.692,II,2018/01/14,2.867952528277268e-07,False
SN2018gqa,267.797125,53.31446944444444,0.105,500.8,Ia,2018/09/06,3.331728870280619e-08,False
SN2018gqb,22.78,-14.716383333333331,0.0875,412.5,Ia-91T,2018/09/14,4.910778963293186e-08,False
SN2018gqd,250.52279166666665,31.532569444444444,,,I,2018/09/18,,False
SN2018gqi,333.21983333333327,33.04750277777777,0.05,230.0,Ia Pec,2018/09/14,1.579583616205777e-07,False
SN2018gqn,130.6869583333333,10.695155555555557,0.06,280.0,Ia,2018/09/14,1.0658159859347658e-07,False
SN2018gqo,126.82554166666664,10.999244444444445,0.087,410.0,Ia,2018/09/14,4.97084909561485e-08,False
SN2018grb,356.34275,13.060883333333337,0.065,302.0,Ia,2018/09/18,9.161875937161267e-08,False
SN2018grc,45.88408333333332,9.394338888888887,0.027,122.0,Ia,2018/09/15,5.614080441903092e-07,False
SN2018gre,270.86475,60.677394444444445,0.05019,230.53,Ia,2018/09/19,1.572328881828223e-07,False
SN2018grf,261.89737499999995,71.53009444444444,0.05,230.0,II,2018/09/19,1.579583616205777e-07,False
SN2018grg,108.91020833333332,37.57408611111112,0.065,302.0,Ia,2018/09/16,9.161875937161267e-08,False
SN2018gro,332.9549999999999,38.70041666666667,0.021748,97.8441,Ia-91bg,2018/09/20,8.728286774252679e-07,False
SN2018grp,21.021624999999997,-21.082,0.033,150.0,II,2018/09/20,3.7137765909904723e-07,False
SN2018grt,1.1512916666666666,51.993805555555554,0.044,201.0,Ia,2018/09/06,2.068264976047267e-07,False
SN2018gru,129.59641666666667,19.47043611111111,0.0702,327.0,Ia,2018/09/15,7.81452864024592e-08,False
SN2018grv,341.38275,-16.118233333333333,0.07,330.0,Ia,2018/09/15,7.673092130145604e-08,False
SN2018gry,134.34508333333332,22.275375,0.083357,391.821,Ia-91T,2018/09/15,5.442806254154414e-08,False
SN2018gsa,129.3785,22.60018055555556,0.077,360.0,II,2018/09/15,6.447528803802904e-08,False
SN2018gsb,251.5364583333333,19.45478333333333,0.059969,277.363,Ia,2018/09/13,1.0861785958975879e-07,False
SN2018gsk,62.29841666666667,8.647730555555555,0.011625,51.9055,Ic,2018/09/15,3.101498208939214e-06,False
SN2018gsm,359.3701666666666,-6.603816666666666,0.073,341.0,Ia,2018/09/14,7.18603841532887e-08,False
SN2018gso,198.4358333333333,51.25737222222222,0.05,230.0,II,2018/09/15,1.579583616205777e-07,False
SN2018gsp,358.62841666666657,-4.785466666666666,0.08,380.0,Ia,2018/09/17,5.786701751889586e-08,False
SN2018gsq,157.05616666666666,79.34034444444444,0.036,164.0,Ia,2018/09/17,3.10678068475928e-07,False
SN2018gsr,2.1266249999999998,-1.5249722222222222,0.089,420.0,II,2018/09/14,4.736959937487848e-08,False
SN2018gss,345.9376666666666,18.138366666666663,0.04,180.0,II,2018/09/18,2.5790115215211616e-07,False
SN2018gsv,75.93195833333331,-26.370297222222224,0.06741,313.41,Ia,2018/09/22,8.506924799067753e-08,False
SN2018gsy,94.81087499999998,60.93961111111111,0.073,341.0,Ic BL,2018/09/13,7.18603841532887e-08,False
